,Projected Points,Pre-Season Ranking,Wk1,Wk1_Total,Wk1_Rank,Wk2,Wk2_Total,Wk2_Rank,Wk3,Wk3_Total,Wk3_Rank,Wk4,Wk4_Total,Wk4_Rank,Wk5,Wk5_Total,Wk5_Rank,Wk6,Wk6_Total,Wk6_Rank,Wk7,Wk7_Total,Wk7_Rank,Wk8,Wk8_Total,Wk8_Rank,Wk9,Wk9_Total,Wk9_Rank,Wk10,Wk10_Total,Wk10_Rank,Wk11,Wk11_Total,Wk11_Rank,Wk12,Wk12_Total,Wk12_Rank,Wk13,Wk13_Total,Wk13_Rank,Wk14,Pts Post Wk 14,Rank Post Wk 14,Wk15,,,Wk16
Justin Jefferson,,1,34.9,34.9,,7.8,,,2.9,,,26,,,24.32,,,13.7,,,,,,12.8,,,22,,,30.3,,,4.8,,,24.84,,,15.1,,,27.8,,,24.3,,,25.3
Cooper Kupp,,2,25.3,25.3,,26.3,,,14.4,,,19.2,,,22.4,,,13.2,,,,,,18.9,,,22.8,,,1.4,,,0,,,0,,,0,,,0,,,0,,,0
Ja'Marr Chase,,3,23.9,23.9,,8.3,,,9.7,,,10.1,,,8.5,,,28.7,,,29,,,0,,,0,,,,,,0,,,0,,,13.2,,,23.5,,,15.5,,,9.9
Stefon Diggs,,4,22.2,22.2,,38.8,,,10.9,,,8.2,,,20.2,,,25.8,,,,,,19.8,,,11.8,,,18.8,,,12.8,,,17.7,,,18.7,,,5.2,,,8.2,,,3.6
CeeDee Lamb,,5,3.9,3.9,,11.6,,,18.7,,,18.7,,,7.8,,,10.2,,,8.6,,,16.3,,,,,,32.5,,,7,,,14.7,,,17.9,,,5.8,,,16.2,,,29
Davante Adams,,6,25.1,25.1,,8.2,,,11.7,,,15,,,25.9,,,,,,13.5,,,0.7,,,31.6,,,23.1,,,29.6,,,10.9,,,33.7,,,8.6,,,4.8,,,2.5
Mike Evans,,7,15.6,15.6,,7.6,,,0,,,26.3,,,10.1,,,6.2,,,14.1,,,15.3,,,6.5,,,7.9,,,,,,4.1,,,7.9,,,6.4,,,10.8,,,4.4
Michael Pittman Jr.,,8,22.6,22.6,,0,,,11.2,,,4.6,,,8.4,,,19.9,,,6.8,,,8.8,,,3.7,,,8.8,,,10.5,,,15.6,,,2.6,,,,,,14,,,5.9
Tyreek Hill,,9,14,14,,36.5,,,4.3,,,20.9,,,9.5,,,23.7,,,10.7,,,25.5,,,23.8,,,12.9,,,,,,12,,,25.1,,,22.1,,,17.4,,,12.3
A.J. Brown,,10,20.5,20.5,,9.4,,,17,,,12,,,4.7,,,15.2,,,,,,36.6,,,13.9,,,1.2,,,6.5,,,10.6,,,27.9,,,15,,,22.6,,,13.3
Tee Higgins,,11,3.7,3.7,,16.1,,,11.8,,,21.9,,,0,,,7.7,,,11.8,,,12.4,,,9.5,,,,,,19.3,,,20.9,,,11,,,0,,,13.8,,,22.8
DJ Moore,,12,6.5,6.5,,11.8,,,2,,,9.1,,,8.7,,,2.2,,,16.1,,,24.5,,,3.4,,,4.9,,,3.9,,,18.3,,,,,,0.6,,,15.8,,,17.6
Deebo Samuel,,13,11.6,11.6,,12.2,,,10.4,,,20.7,,,10.2,,,12.5,,,6.9,,,0,,,,,,6.1,,,18.9,,,5.8,,,9.3,,,12.4,,,0,,,0
Keenan Allen,,14,8.6,8.6,,0,,,0,,,0,,,0,,,0,,,2.1,,,,,,0,,,0,,,9.9,,,13.4,,,17.8,,,15.2,,,12.6,,,15.9
Mike Williams,,15,2,2,,21.3,,,8,,,15.5,,,18.4,,,2.7,,,18.1,,,,,,0,,,0,,,2,,,0,,,0,,,20.6,,,8.7,,,9.6
Terry McLaurin,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtland Sutton,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Robinson II,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diontae Johnson,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Waddle,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK Metcalf,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandin Cooks,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Davis,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JuJu Smith-Schuster,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashod Bateman,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Jeudy,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah Moore,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darnell Mooney,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquise Brown,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Thomas,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Aiyuk,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Thielen,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Renfrow,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Kirk,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amari Cooper,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Godwin,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeVonta Smith,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Lazard,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Woods,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake London,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
