NAME,RTG,TEAM,DEP,BYE,GP,FPTS,SNAP,TOUCH,TGT,TGTS,REC,REC YDS,REC TD,YDS/REC,CATCH %,ATT,YDS,TD,YDS/ATT,WEEK
"Travis Kelce","98","KC","1",8,1,22.1,2,0.4,0.4,9,8,121,1,15.1,88.9,0,0,0,0,1
"Darren Waller","86","LV","1",6,1,9.9,4.9,0.4,0.6,6,4,79,0,19.8,66.7,0,0,0,0,1
"Dalton Schultz","84","DAL","1",9,1,9.7,7.1,0.7,0.9,9,7,62,0,8.9,77.8,0,0,0,0,1
"Mark Andrews","94","BAL","1",10,1,7.7,6.1,0.6,0.9,7,5,52,0,10.4,71.4,0,0,0,0,1
"Dallas Goedert","89","PHI","1",7,1,7.5,9.5,0.4,0.5,4,3,60,0,20,75,0,0,0,0,1
"T.J. Hockenson","89","MIN","1",7,1,5.8,10.9,0.7,1.2,7,4,38,0,9.5,57.1,0,0,0,0,1
"Kyle Pitts","85","ATL","1",14,1,2.9,21.7,0.7,2.4,7,2,19,0,9.5,28.6,0,0,0,0,1
"Dawson Knox","82","BUF","1",7,1,1,51,1,2,2,1,5,0,5,50,0,0,0,0,1
"Mark Andrews","94","BAL","1",10,1,21.2,2.3,0.5,0.5,11,9,104,1,11.6,81.8,1,3,0,3,2
"Darren Waller","86","LV","1",6,1,14,2.6,0.4,0.6,8,6,50,1,8.3,75,0,0,0,0,2
"Dallas Goedert","89","PHI","1",7,1,10.7,5.7,0.5,0.6,6,5,82,0,16.4,83.3,0,0,0,0,2
"Travis Kelce","98","KC","1",8,1,7.6,6.7,0.7,0.9,7,5,51,0,10.2,71.4,0,0,0,0,2
"Dawson Knox","82","BUF","1",7,1,6.1,7.7,0.7,0.8,5,4,41,0,10.2,80,0,0,0,0,2
"T.J. Hockenson","89","MIN","1",7,1,4.1,13.2,0.7,1.7,7,3,26,0,8.7,42.9,0,0,0,0,2
"Kyle Pitts","85","ATL","1",14,1,2.9,19.7,0.7,1,3,2,19,0,9.5,66.7,0,0,0,0,2
"Dalton Schultz","84","DAL","1",9,1,0.8,68.8,2.5,5,4,2,18,0,9,50,0,0,0,0,2
"Mark Andrews","94","BAL","1",10,1,24.9,2.2,0.3,0.5,13,8,89,2,11.1,61.5,0,0,0,0,3
"Travis Kelce","98","KC","1",8,1,15.9,3.5,0.3,0.5,8,4,58,1,14.5,50,1,1,0,1,3
"Kyle Pitts","85","ATL","1",14,1,11.2,3.4,0.4,0.7,8,5,87,0,17.4,62.5,0,0,0,0,3
"Dallas Goedert","89","PHI","1",7,1,10.1,4.5,0.3,0.4,4,3,26,1,8.7,75,0,0,0,0,3
"T.J. Hockenson","89","MIN","1",7,1,9.3,6.3,0.3,0.4,4,3,18,1,6,75,0,0,0,0,3
"Cole Kmet","77","CHI","1",14,1,5,11.6,0.4,0.6,3,2,40,0,20,66.7,0,0,0,0,3
"George Kittle","97","SF","1",9,1,4.8,10.6,0.8,1,5,4,28,0,7,80,0,0,0,0,3
"Dawson Knox","82","BUF","1",7,1,4.5,14.4,0.9,0.9,4,4,25,0,6.2,100,0,0,0,0,3
"Darren Waller","86","LV","1",6,1,3.7,13.8,0.8,1.4,5,3,22,0,7.3,60,0,0,0,0,3
"T.J. Hockenson","89","MIN","1",7,1,35.9,1.8,0.2,0.3,12,8,179,2,22.4,66.7,0,0,0,0,4
"Travis Kelce","98","KC","1",8,1,19.7,3.3,0.5,0.5,10,9,92,1,10.2,90,0,0,0,0,4
"Dallas Goedert","89","PHI","1",7,1,9.7,7.6,0.5,0.6,6,5,72,0,14.4,83.3,0,0,0,0,4
"Dawson Knox","82","BUF","1",7,1,5.5,8.7,0.5,1.1,6,3,40,0,13.3,50,0,0,0,0,4
"Darren Waller","86","LV","1",6,1,3.9,15.4,0.8,1.3,5,3,24,0,8,60,0,0,0,0,4
"George Kittle","97","SF","1",9,1,3.4,13.8,0.6,1.2,4,2,24,0,12,50,0,0,0,0,4
"Cole Kmet","77","CHI","1",14,1,3.1,19.7,1,1,3,3,16,0,5.3,100,0,0,0,0,4
"Kyle Pitts","85","ATL","1",14,1,3,11.3,0.3,1.3,4,1,25,0,25,25,0,0,0,0,4
"Mark Andrews","94","BAL","1",10,1,2.5,26.4,0.8,2,5,2,15,0,7.5,40,0,0,0,0,4
"Travis Kelce","98","KC","1",8,1,30,1.9,0.2,0.3,8,7,25,4,3.6,87.5,0,0,0,0,5
"Mark Andrews","94","BAL","1",10,1,18.9,3.3,0.4,0.5,10,8,89,1,11.1,80,0,0,0,0,5
"Dallas Goedert","89","PHI","1",7,1,13.5,5.2,0.6,0.7,9,8,95,0,11.9,88.9,0,0,0,0,5
"Cole Kmet","77","CHI","1",14,1,6.5,6.9,0.6,0.6,4,4,45,0,11.2,100,0,0,0,0,5
"George Kittle","97","SF","1",9,1,5.2,11.3,1,1.2,6,5,47,0,9.4,83.3,0,0,0,0,5
"T.J. Hockenson","89","MIN","1",7,1,1.1,50.9,0.9,3.6,4,1,6,0,6,25,0,0,0,0,5
"Mark Andrews","94","BAL","1",10,1,20.1,2.7,0.3,0.5,11,7,106,1,15.1,63.6,0,0,0,0,6
"Travis Kelce","98","KC","1",8,1,15.2,3.4,0.6,0.7,10,8,108,0,13.5,80,1,4,0,4,6
"George Kittle","97","SF","1",9,1,12.3,4.8,0.7,0.8,10,8,83,0,10.4,80,0,0,0,0,6
"Dawson Knox","82","BUF","1",7,1,11.2,5.5,0.3,0.3,3,3,37,1,12.3,100,0,0,0,0,6
"Kyle Pitts","85","ATL","1",14,1,9.4,3.5,0.3,0.3,3,3,19,1,6.3,100,0,0,0,0,6
"Dallas Goedert","89","PHI","1",7,1,3.2,21.9,0.6,1.6,5,2,22,0,11,40,0,0,0,0,6
"Cole Kmet","77","CHI","1",14,1,2,33.5,0.5,1.5,3,1,15,0,15,33.3,0,0,0,0,6
"George Kittle","97","SF","1",9,1,18.8,3.7,0.3,0.5,9,6,98,1,16.3,66.7,0,0,0,0,7
"Travis Kelce","98","KC","1",8,1,12.8,3.9,0.5,0.6,8,6,98,0,16.3,75,0,0,0,0,7
"Dalton Schultz","84","DAL","1",9,1,7.4,5.5,0.7,0.7,5,5,49,0,9.8,100,0,0,0,0,7
"T.J. Hockenson","89","MIN","1",7,1,6.8,7.2,0.6,0.7,5,4,48,0,12,80,0,0,0,0,7
"Cole Kmet","77","CHI","1",14,1,4.2,16.2,0.5,0.7,3,2,32,0,16,66.7,0,0,0,0,7
"Kyle Pitts","85","ATL","1",14,1,2.4,15.4,1.2,2.1,5,3,9,0,3,60,0,0,0,0,7
"Mark Andrews","94","BAL","1",10,1,0.4,140,2.5,5,2,0,0,0,0,0,1,4,0,4,7
"Kyle Pitts","85","ATL","1",14,1,16.5,3,0.3,0.5,9,5,80,1,16,55.6,0,0,0,0,8
"George Kittle","97","SF","1",9,1,11.4,4.6,0.3,0.4,5,3,39,1,13,60,0,0,0,0,8
"Dalton Schultz","84","DAL","1",9,1,10.4,3.9,0.6,0.7,7,6,74,0,12.3,85.7,0,0,0,0,8
"T.J. Hockenson","89","MIN","1",7,1,9.5,5.5,0.3,0.4,4,3,80,0,26.7,75,0,0,0,0,8
"Dallas Goedert","89","PHI","1",7,1,9.4,4.5,0.6,0.6,6,6,64,0,10.7,100,0,0,0,0,8
"Cole Kmet","77","CHI","1",14,1,8.1,9.3,0.2,0.2,2,2,11,1,5.5,100,0,0,0,0,8
"Dawson Knox","82","BUF","1",7,1,8,6.5,0.2,0.4,3,2,10,1,5,66.7,0,0,0,0,8
"Mark Andrews","94","BAL","1",10,1,4.8,2.1,0.6,1,5,3,33,0,11,60,0,0,0,0,8
"Dallas Goedert","89","PHI","1",7,1,20,3,0.4,0.5,9,8,100,1,12.5,88.9,0,0,0,0,9
"Cole Kmet","77","CHI","1",14,1,19.5,3.7,0.4,0.3,6,5,41,2,8.2,83.3,2,9,0,4.5,9
"Travis Kelce","98","KC","1",8,1,15.6,5.3,0.6,1.1,17,10,106,0,10.6,58.8,0,0,0,0,9
"T.J. Hockenson","89","MIN","1",7,1,11.5,5.2,0.8,0.8,9,9,70,0,7.8,100,0,0,0,0,9
